Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"41,36200";"3,70777";"7713,08057";"-0,12884"
"41,46200";"3,73284";"7717,32910";"-0,12839"
"41,56200";"3,75783";"7718,39014";"-0,12943"
"41,66200";"3,78262";"7708,81543";"-0,13111"
"41,76200";"3,80786";"7722,18604";"-0,13209"
"41,86200";"3,83275";"7733,61621";"-0,13163"
"41,96200";"3,85803";"7724,50635";"-0,13015"
"42,06200";"3,88289";"7721,14355";"-0,12881"
"42,16200";"3,90762";"7733,31104";"-0,12868"
"42,26200";"3,93301";"7736,54199";"-0,12980"
"42,36200";"3,95759";"7740,62793";"-0,13128"
"42,42700";"3,97391";"7715,41943";"-0,12928"
"42,52700";"3,99912";"7720,43359";"-0,13072"
"42,62700";"4,02403";"7726,54053";"-0,13178"
"42,72700";"4,04929";"7726,71338";"-0,13165"
"42,82700";"4,07394";"7715,98828";"-0,13045"
"42,92700";"4,09901";"7705,77490";"-0,12917"
"43,00400";"4,11848";"7680,66406";"-0,13174"
"43,10400";"4,14314";"7667,98096";"-0,13150"
"43,20400";"4,16829";"7662,63965";"-0,13033"
"43,30400";"4,19343";"7660,92725";"-0,12916"
"43,40400";"4,21820";"7658,01172";"-0,12890"
"43,50400";"4,24350";"7638,16846";"-0,12974"
"43,54900";"4,25463";"7612,85938";"-0,13113"
"43,64900";"4,27938";"7607,70166";"-0,13167"
"43,74900";"4,30463";"7586,36377";"-0,13112"
"43,84900";"4,32942";"7589,95117";"-0,12994"
"43,93400";"4,35091";"7564,82129";"-0,13002"
"44,03400";"4,37607";"7550,22461";"-0,13114"
"44,07700";"4,38659";"7524,95850";"-0,13147"
"44,13000";"4,39972";"7499,92920";"-0,13140"
"44,23000";"4,42481";"7497,41113";"-0,13045"
"44,33000";"4,44977";"7474,35205";"-0,12940"
"44,43000";"4,47475";"7452,10156";"-0,12908"
"44,47600";"4,48645";"7426,60693";"-0,12972"
"44,53800";"4,50200";"7401,30469";"-0,12909"
"44,59300";"4,51567";"7375,92383";"-0,12909"
"44,63900";"4,52704";"7350,52295";"-0,12960"
"44,66200";"4,53293";"7324,52051";"-0,13048"
"44,67100";"4,53526";"7298,91357";"-0,13140"
"44,67600";"4,53655";"7251,86670";"-0,13145"
"44,67700";"4,53681";"7207,12012";"-0,13141"
"44,67800";"4,53707";"7137,33789";"-0,13135"
"44,67900";"4,53733";"7045,22803";"-0,13126"
"44,68000";"4,53759";"6934,67236";"-0,13115"
"44,68100";"4,53786";"6807,84229";"-0,13102"
"44,68200";"4,53812";"6665,71338";"-0,13089"
"44,68300";"4,53839";"6509,44238";"-0,13080"
